"Date","Price","Open","High","Low","Change %"
"Feb 07, 2020","10.8661","10.7859","10.9219","10.7788","0.75%"
"Feb 06, 2020","10.7849","10.7843","10.7981","10.7150","-0.00%"
"Feb 05, 2020","10.7854","10.8094","10.9083","10.7537","-0.22%"
"Feb 04, 2020","10.8094","10.9562","11.0077","10.8087","-1.34%"
"Feb 03, 2020","10.9564","11.0328","11.0610","10.9511","-0.70%"
"Jan 31, 2020","11.0335","10.9085","11.0654","10.8572","1.15%"
"Jan 30, 2020","10.9085","10.8223","10.9927","10.8096","0.80%"
"Jan 29, 2020","10.8223","10.7821","10.8321","10.7574","0.43%"
"Jan 28, 2020","10.7757","10.8095","10.8597","10.7746","-0.36%"
"Jan 27, 2020","10.8150","10.7309","10.8403","10.7228","0.99%"
"Jan 24, 2020","10.7088","10.6802","10.7248","10.6427","0.25%"
"Jan 23, 2020","10.6817","10.6133","10.7118","10.6031","0.64%"
"Jan 22, 2020","10.6133","10.6480","10.6548","10.5634","-0.33%"
"Jan 21, 2020","10.6486","10.5252","10.6662","10.5105","1.18%"
"Jan 20, 2020","10.5243","10.5429","10.5543","10.4955","-0.18%"
"Jan 17, 2020","10.5437","10.5391","10.5552","10.4979","0.06%"
"Jan 16, 2020","10.5373","10.5457","10.5756","10.5140","-0.07%"
"Jan 15, 2020","10.5451","10.5300","10.5879","10.5188","0.15%"
"Jan 14, 2020","10.5296","10.5047","10.5551","10.4481","0.23%"
"Jan 13, 2020","10.5053","10.5861","10.5899","10.5044","-0.77%"
"Jan 10, 2020","10.5866","10.5896","10.6355","10.5604","-0.02%"
"Jan 09, 2020","10.5891","10.6583","10.6694","10.5745","-0.58%"
"Jan 08, 2020","10.6511","10.7684","10.9535","10.6247","-1.16%"
"Jan 07, 2020","10.7762","10.7778","10.7874","10.7278","0.03%"
"Jan 06, 2020","10.7733","10.7918","10.8685","10.7599","-0.12%"
"Jan 03, 2020","10.7864","10.6698","10.8338","10.6593","1.13%"
"Jan 02, 2020","10.6660","10.6226","10.7121","10.6120","0.38%"
"Jan 01, 2020","10.6253","10.6326","10.6381","10.6166","-0.08%"
"Dec 31, 2019","10.6335","10.6357","10.6677","10.6179","-0.02%"
"Dec 30, 2019","10.6357","10.6031","10.6473","10.5777","0.36%"
"Dec 27, 2019","10.5980","10.6003","10.6222","10.5786","-0.03%"
"Dec 26, 2019","10.6011","10.6175","10.6327","10.5917","-0.13%"
"Dec 25, 2019","10.6146","10.6411","10.6411","10.5720","-0.20%"
"Dec 24, 2019","10.6359","10.6397","10.6626","10.6093","-0.05%"
"Dec 23, 2019","10.6407","10.6037","10.6539","10.5854","0.45%"
"Dec 20, 2019","10.5935","10.6303","10.6676","10.5805","-0.40%"
"Dec 19, 2019","10.6356","10.6574","10.6783","10.6152","-0.14%"
"Dec 18, 2019","10.6510","10.6246","10.6797","10.6084","0.17%"
"Dec 17, 2019","10.6334","10.6701","10.6868","10.6136","-0.35%"
"Dec 16, 2019","10.6706","10.7582","10.7700","10.6495","-0.77%"
"Dec 13, 2019","10.7539","10.7261","10.7922","10.6604","0.22%"
"Dec 12, 2019","10.7300","10.9590","10.9929","10.7066","-2.09%"
"Dec 11, 2019","10.9586","10.9516","11.0048","10.9374","0.07%"
"Dec 10, 2019","10.9511","10.9748","11.0014","10.9451","-0.14%"
"Dec 09, 2019","10.9667","10.9138","11.0015","10.9138","0.41%"
"Dec 06, 2019","10.9223","10.9293","10.9765","10.9062","-0.09%"
"Dec 05, 2019","10.9316","10.9502","10.9668","10.9080","-0.11%"
"Dec 04, 2019","10.9431","10.9508","11.0211","10.9232","-0.11%"
"Dec 03, 2019","10.9547","10.8765","10.9979","10.8484","0.69%"
"Dec 02, 2019","10.8792","10.7884","10.8932","10.7434","0.82%"
"Nov 29, 2019","10.7903","10.7658","10.8076","10.7520","0.24%"
"Nov 28, 2019","10.7640","10.7417","10.7979","10.7354","0.19%"
"Nov 27, 2019","10.7432","10.7598","10.8014","10.7323","-0.16%"
"Nov 26, 2019","10.7599","10.7762","10.8252","10.7223","-0.17%"
"Nov 25, 2019","10.7782","10.8699","10.8699","10.7678","-0.78%"
"Nov 22, 2019","10.8631","10.8376","10.8779","10.8183","0.29%"
"Nov 21, 2019","10.8322","10.7741","10.8698","10.7741","0.49%"
"Nov 20, 2019","10.7795","10.7637","10.8179","10.7559","0.15%"
"Nov 19, 2019","10.7637","10.7406","10.7955","10.7165","0.22%"
"Nov 18, 2019","10.7406","10.6928","10.7616","10.6801","0.38%"
"Nov 15, 2019","10.6997","10.7843","10.7948","10.6889","-0.77%"
"Nov 14, 2019","10.7824","10.7695","10.8342","10.7407","0.16%"
"Nov 13, 2019","10.7651","10.6953","10.8001","10.6853","0.60%"
"Nov 12, 2019","10.7006","10.6859","10.7144","10.6233","0.13%"
"Nov 11, 2019","10.6868","10.6205","10.7201","10.6081","0.78%"
"Nov 08, 2019","10.6041","10.5648","10.6236","10.5467","0.31%"
"Nov 07, 2019","10.5715","10.6575","10.6969","10.5333","-0.82%"
"Nov 06, 2019","10.6591","10.6005","10.6843","10.5910","0.58%"
"Nov 05, 2019","10.5980","10.7188","10.7210","10.5869","-1.06%"
"Nov 04, 2019","10.7111","10.7669","10.7680","10.6893","-0.52%"
"Nov 01, 2019","10.7667","10.8240","10.8442","10.7455","-0.60%"
"Oct 31, 2019","10.8321","10.7072","10.8517","10.6723","1.17%"
