"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 14, 2020","11,990","11,960","12,025","11,960","1.13K","-0.29%"
"Jan 13, 2020","12,025","12,000","12,025","11,945","1.59K","0.08%"
"Jan 10, 2020","12,015","12,000","12,015","11,995","1.91K","0.04%"
"Jan 09, 2020","12,010","11,940","12,010","11,940","0.87K","0.33%"
"Jan 08, 2020","11,970","11,980","11,980","11,930","0.85K","0.00%"
"Jan 07, 2020","11,970","11,930","11,970","11,925","5.94K","0.17%"
"Jan 06, 2020","11,950","11,925","11,960","11,920","4.25K","0.29%"
"Jan 03, 2020","11,915","11,925","11,955","11,915","5.48K","-0.08%"
"Jan 02, 2020","11,925","11,930","11,940","11,895","2.82K","-0.04%"
"Dec 30, 2019","11,930","11,950","11,950","11,905","2.38K","-0.08%"
"Dec 27, 2019","11,940","11,985","11,985","11,895","5.23K","0.00%"
"Dec 26, 2019","11,940","11,920","11,940","11,895","4.70K","0.34%"
"Dec 24, 2019","11,900","11,925","11,925","11,885","3.18K","-0.04%"
"Dec 23, 2019","11,905","11,890","11,925","11,885","2.67K","-0.08%"
"Dec 20, 2019","11,915","11,890","11,915","11,880","1.88K","0.21%"
"Dec 19, 2019","11,890","11,880","11,925","11,880","3.39K","0.04%"
"Dec 18, 2019","11,885","11,870","11,885","11,870","0.54K","0.13%"
"Dec 17, 2019","11,870","11,845","11,890","11,845","1.41K","0.00%"
"Dec 16, 2019","11,870","11,840","11,870","11,835","1.04K","0.25%"
"Dec 13, 2019","11,840","11,815","11,840","11,815","1.12K","0.08%"
"Dec 12, 2019","11,830","11,795","11,830","11,795","0.70K","0.30%"
"Dec 11, 2019","11,795","11,790","11,805","11,785","1.55K","-0.04%"
"Dec 10, 2019","11,800","11,775","11,800","11,770","2.45K","0.13%"
"Dec 09, 2019","11,785","11,760","11,785","11,760","1.47K","0.08%"
"Dec 06, 2019","11,775","11,750","11,795","11,750","0.52K","-0.13%"
"Dec 05, 2019","11,790","11,720","11,790","11,720","4.74K","0.43%"
"Dec 04, 2019","11,740","11,720","11,760","11,720","5.86K","-0.17%"
"Dec 03, 2019","11,760","11,735","11,775","11,735","2.34K","-0.17%"
"Dec 02, 2019","11,780","11,775","11,780","11,740","1.60K","0.34%"
"Nov 29, 2019","11,740","11,745","11,785","11,740","5.85K","-0.25%"
"Nov 28, 2019","11,770","11,785","11,785","11,735","0.82K","-0.13%"
"Nov 27, 2019","11,785","11,745","11,785","11,735","3.01K","0.13%"
"Nov 26, 2019","11,770","11,725","11,770","11,725","0.66K","0.09%"
"Nov 25, 2019","11,760","11,760","11,760","11,715","2.55K","0.00%"
"Nov 22, 2019","11,760","11,760","11,760","11,725","0.46K","0.00%"
"Nov 21, 2019","11,760","11,760","11,765","11,755","1.53K","-0.08%"
"Nov 20, 2019","11,770","11,770","11,770","11,755","0.61K","-0.17%"
"Nov 19, 2019","11,790","11,760","11,790","11,755","2.93K","-0.13%"
"Nov 18, 2019","11,805","11,760","11,805","11,750","1.87K","0.25%"
"Nov 15, 2019","11,775","11,755","11,790","11,745","1.46K","0.17%"
"Nov 14, 2019","11,755","11,760","11,810","11,745","5.11K","-0.30%"
"Nov 13, 2019","11,790","11,775","11,795","11,765","3.26K","0.17%"
"Nov 12, 2019","11,770","11,810","11,820","11,765","0.94K","-0.34%"
"Nov 11, 2019","11,810","11,685","11,810","11,685","2.41K","0.21%"
"Nov 08, 2019","11,785","11,780","11,820","11,770","3.17K","0.00%"
"Nov 07, 2019","11,785","11,790","11,790","11,775","0.31K","-0.04%"
"Nov 06, 2019","11,790","11,790","11,835","11,780","1.45K","-0.38%"
"Nov 05, 2019","11,835","11,785","11,845","11,775","3.90K","0.55%"
"Nov 04, 2019","11,770","11,840","11,840","11,755","1.34K","0.04%"
"Nov 01, 2019","11,765","11,775","11,780","11,750","9.90K","-0.08%"
"Oct 31, 2019","11,775","11,765","11,845","11,765","1.00K","-0.30%"
"Oct 30, 2019","11,810","11,850","11,850","11,780","1.82K","0.25%"
"Oct 29, 2019","11,780","11,850","11,850","11,775","3.18K","-0.55%"
"Oct 28, 2019","11,845","11,855","11,855","11,785","1.67K","0.00%"
"Oct 25, 2019","11,845","11,785","11,845","11,770","5.29K","0.51%"
"Oct 24, 2019","11,785","11,765","11,820","11,765","1.83K","-0.08%"
"Oct 23, 2019","11,795","11,835","11,835","11,760","2.51K","-0.25%"
"Oct 22, 2019","11,825","11,820","11,830","11,765","2.81K","0.04%"
"Oct 21, 2019","11,820","11,845","11,845","11,735","1.58K","0.42%"
"Oct 18, 2019","11,770","11,780","11,815","11,765","0.22K","-0.08%"
"Oct 17, 2019","11,780","11,820","11,820","11,750","1.36K","-0.13%"
"Oct 16, 2019","11,795","11,740","11,815","11,740","1.34K","0.30%"
"Oct 15, 2019","11,760","11,725","11,795","11,715","8.12K","-0.08%"
"Oct 14, 2019","11,770","11,700","11,795","11,700","2.66K","0.34%"
"Oct 11, 2019","11,730","11,690","11,795","11,690","4.66K","-0.38%"
"Oct 10, 2019","11,775","11,780","11,780","11,690","2.12K","-0.04%"
"Oct 08, 2019","11,780","11,685","11,780","11,685","0.71K","0.04%"
"Oct 07, 2019","11,775","11,765","11,775","11,685","3.55K","0.08%"
"Oct 04, 2019","11,765","11,710","11,770","11,710","7.08K","0.21%"
"Oct 02, 2019","11,740","11,730","11,810","11,725","2.96K","-0.09%"
"Oct 01, 2019","11,750","11,735","11,750","11,720","6.67K","-0.25%"
"Sep 30, 2019","11,780","11,730","11,785","11,730","5.87K","0.13%"
"Sep 27, 2019","11,765","11,740","11,805","11,740","2.90K","-0.13%"
"Sep 26, 2019","11,780","11,760","11,815","11,745","1.97K","-0.46%"
"Sep 25, 2019","11,835","11,765","11,835","11,765","3.57K","0.51%"
"Sep 24, 2019","11,775","11,755","11,850","11,755","0.95K","-0.21%"
"Sep 23, 2019","11,800","11,800","11,800","11,765","2.27K","-0.13%"
"Sep 20, 2019","11,815","11,840","11,840","11,770","7.17K","0.21%"
"Sep 19, 2019","11,790","11,760","11,790","11,760","3.36K","0.21%"
"Sep 18, 2019","11,765","11,770","11,850","11,765","1.52K","-0.04%"
"Sep 17, 2019","11,770","11,865","11,865","11,760","1.28K","0.09%"
"Sep 16, 2019","11,760","11,735","11,760","11,735","4.48K","0.09%"
"Sep 11, 2019","11,750","11,745","11,760","11,740","3.00K","0.00%"
"Sep 10, 2019","11,750","11,725","11,760","11,720","2.26K","0.21%"
"Sep 09, 2019","11,725","11,715","11,740","11,715","5.90K","0.09%"
"Sep 06, 2019","11,715","11,710","11,725","11,710","8.09K","-0.21%"
"Sep 05, 2019","11,740","11,680","11,755","11,680","1.54K","0.38%"
