"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 23, 2020","28,155","28,310","28,550","27,880","10.27M","0.27%"
"Jun 22, 2020","28,080","28,025","28,325","27,985","4.98M","-0.71%"
"Jun 21, 2020","28,280","28,280","28,280","28,280","-","0.00%"
"Jun 19, 2020","28,280","28,450","28,480","27,805","8.63M","0.35%"
"Jun 18, 2020","28,180","28,125","28,300","27,965","0.06K","-0.28%"
"Jun 17, 2020","28,260","28,275","28,465","27,795","9.74M","-0.28%"
"Jun 16, 2020","28,340","27,390","28,340","27,360","0.58K","6.14%"
"Jun 15, 2020","26,700","27,800","28,025","26,700","16.31M","-5.03%"
"Jun 14, 2020","28,115","28,115","28,115","28,115","-","0.00%"
"Jun 12, 2020","28,115","27,670","28,185","27,570","11.77M","-2.04%"
"Jun 11, 2020","28,700","29,075","29,185","28,395","0.36K","-1.64%"
"Jun 10, 2020","29,180","29,060","29,295","28,970","2.48K","0.31%"
"Jun 09, 2020","29,090","29,290","29,485","28,785","6.79M","0.05%"
"Jun 08, 2020","29,075","29,515","29,635","28,980","0.00K","-0.14%"
"Jun 07, 2020","29,115","29,115","29,115","29,115","-","0.00%"
"Jun 05, 2020","29,115","28,565","29,145","28,480","8.45M","1.68%"
"Jun 04, 2020","28,635","28,995","29,275","28,540","11.70K","0.12%"
"Jun 03, 2020","28,600","27,860","28,770","27,860","0.04K","3.66%"
"Jun 02, 2020","27,590","27,305","27,635","27,240","5.63M","1.04%"
"Jun 01, 2020","27,305","26,865","27,305","26,850","0.50K","1.98%"
"May 31, 2020","26,775","26,775","26,775","26,775","-","0.00%"
"May 29, 2020","26,775","26,650","26,950","26,520","6.20M","-0.19%"
"May 28, 2020","26,825","26,965","27,110","26,510","0.00K","0.30%"
"May 27, 2020","26,745","26,605","26,885","26,560","4.26K","0.06%"
"May 26, 2020","26,730","26,300","26,730","26,280","7.45K","1.81%"
"May 25, 2020","26,255","26,070","26,260","25,885","5.20M","1.25%"
"May 24, 2020","25,930","25,930","25,930","25,930","-","0.00%"
"May 22, 2020","25,930","26,375","26,410","25,815","6.83M","-1.69%"
"May 21, 2020","26,375","26,420","26,465","26,300","4.77M","0.44%"
"May 20, 2020","26,260","26,095","26,335","26,075","4.17M","0.23%"
"May 19, 2020","26,200","26,095","26,260","26,020","1.91K","2.58%"
"May 18, 2020","25,540","25,505","25,615","25,285","0.00K","0.65%"
"May 17, 2020","25,375","25,375","25,375","25,375","-","0.00%"
"May 15, 2020","25,375","25,525","25,525","25,190","5.12M","0.24%"
"May 14, 2020","25,315","25,340","25,420","25,175","0.37K","-1.06%"
"May 13, 2020","25,585","25,000","25,585","24,965","5.36M","1.15%"
"May 12, 2020","25,295","25,505","25,530","25,075","6.34M","-0.71%"
"May 11, 2020","25,475","25,720","25,885","25,440","4.13M","-0.72%"
"May 10, 2020","25,660","25,660","25,660","25,660","-","0.00%"
"May 08, 2020","25,660","25,610","25,845","25,610","5.43M","0.86%"
"May 07, 2020","25,440","25,405","25,625","25,315","5.37M","-0.24%"
"May 06, 2020","25,500","25,500","25,500","25,125","6.95M","1.86%"
"May 05, 2020","25,035","25,035","25,035","25,035","-","0.00%"
"May 04, 2020","25,035","25,320","25,385","25,000","8.16M","-3.04%"
"May 03, 2020","25,820","25,820","25,820","25,820","-","0.00%"
"Apr 29, 2020","25,820","25,680","25,995","25,605","7.23M","0.66%"
"Apr 28, 2020","25,650","25,590","25,740","25,335","6.00M","-1.04%"
"Apr 27, 2020","25,920","25,505","26,020","25,465","6.06M","1.99%"
"Apr 26, 2020","25,415","25,415","25,415","25,415","-","0.00%"
"Apr 24, 2020","25,415","25,650","25,705","25,300","5.66M","-1.49%"
"Apr 23, 2020","25,800","25,710","25,950","25,555","12.78M","0.98%"
"Apr 22, 2020","25,550","24,990","25,650","24,855","17.97M","0.87%"
"Apr 21, 2020","25,330","25,490","25,595","24,910","17.16M","-1.11%"
"Apr 20, 2020","25,615","25,890","25,980","25,545","7.16M","-1.20%"
"Apr 19, 2020","25,925","25,925","25,925","25,925","-","0.00%"
"Apr 17, 2020","25,925","25,675","26,135","25,650","10.77M","3.04%"
"Apr 16, 2020","25,160","24,895","25,205","24,750","7.82M","0.00%"
"Apr 15, 2020","25,160","25,160","25,160","25,160","-","0.00%"
"Apr 14, 2020","25,160","24,940","25,295","24,855","11.60M","1.74%"
"Apr 13, 2020","24,730","25,085","25,085","24,720","18.85M","-1.71%"
"Apr 12, 2020","25,160","25,160","25,160","25,160","-","0.00%"
"Apr 10, 2020","25,160","24,900","25,195","24,820","10.58M","0.84%"
"Apr 09, 2020","24,950","24,990","25,030","24,685","15.41M","1.59%"
"Apr 08, 2020","24,560","24,795","25,115","24,560","10.07M","-1.46%"
"Apr 07, 2020","24,925","24,910","25,190","24,495","11.47M","1.57%"
"Apr 06, 2020","24,540","23,835","24,580","23,810","12.55M","3.98%"
"Apr 05, 2020","23,600","23,600","23,600","23,600","-","0.00%"
"Apr 03, 2020","23,600","23,710","23,865","23,315","12.64M","-0.25%"
"Apr 02, 2020","23,660","23,075","23,665","22,755","12.98M","3.07%"
"Apr 01, 2020","22,955","23,870","24,145","22,955","16.35M","-4.69%"
"Mar 31, 2020","24,085","23,815","24,140","23,640","11.78M","1.77%"
"Mar 30, 2020","23,665","23,060","23,910","22,915","13.60M","-0.59%"
"Mar 29, 2020","23,805","23,805","23,805","23,805","-","0.00%"
"Mar 27, 2020","23,805","24,230","24,350","23,010","15.42M","2.41%"
"Mar 26, 2020","23,245","23,685","24,045","22,885","0.31K","-1.94%"
"Mar 25, 2020","23,705","23,090","23,755","22,785","12.22K","5.73%"
"Mar 24, 2020","22,420","21,120","22,420","20,805","2.45K","9.29%"
"Mar 23, 2020","20,515","20,380","21,015","20,205","1.01K","-5.87%"
"Mar 22, 2020","21,795","21,795","21,795","21,795","-","0.00%"
"Mar 20, 2020","21,795","20,825","21,795","20,385","24.12M","7.68%"
"Mar 19, 2020","20,240","22,335","22,490","19,945","51.92M","-7.33%"
"Mar 18, 2020","21,840","23,120","23,295","21,840","21.32M","-5.50%"
"Mar 17, 2020","23,110","22,775","23,815","22,595","39.54M","-2.24%"
"Mar 16, 2020","23,640","24,700","24,970","23,570","23.59M","-3.63%"
"Mar 15, 2020","24,530","24,530","24,530","24,530","-","0.00%"
"Mar 13, 2020","24,530","23,225","25,045","23,060","20.13M","-2.58%"
