"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 08, 2020","125,160","124,490","125,165","124,490","9.58K","0.53%"
"Apr 07, 2020","124,495","125,800","125,800","124,435","22.35K","-0.26%"
"Apr 06, 2020","124,820","124,560","125,170","124,330","7.73K","0.08%"
"Apr 03, 2020","124,715","125,015","125,350","124,585","2.38K","-0.26%"
"Apr 02, 2020","125,045","124,720","125,060","124,680","1.20K","0.21%"
"Apr 01, 2020","124,785","124,825","125,340","124,785","4.06K","0.04%"
"Mar 31, 2020","124,740","124,175","124,915","124,085","24.70K","-0.01%"
"Mar 30, 2020","124,755","124,850","125,300","124,570","2.12K","-0.29%"
"Mar 27, 2020","125,120","125,145","125,795","124,915","36.27K","-0.02%"
"Mar 26, 2020","125,145","124,000","125,145","123,860","10.95K","1.37%"
"Mar 25, 2020","123,455","122,850","123,800","122,650","2.80K","0.35%"
"Mar 24, 2020","123,030","122,760","123,530","122,560","23.72K","0.11%"
"Mar 23, 2020","122,900","123,435","123,785","122,500","33.56K","-0.89%"
"Mar 20, 2020","124,000","123,500","124,000","123,180","41.81K","0.33%"
"Mar 19, 2020","123,590","124,880","125,000","122,570","27.67K","-1.43%"
"Mar 18, 2020","125,380","125,340","125,915","125,225","62.04K","-0.42%"
"Mar 17, 2020","125,915","124,700","126,000","124,700","26.21K","0.48%"
"Mar 16, 2020","125,315","124,630","125,820","124,630","34.79K","0.55%"
"Mar 13, 2020","124,630","126,585","126,585","123,720","56.68K","-1.54%"
"Mar 12, 2020","126,585","126,300","126,775","126,155","100.74K","-0.41%"
"Mar 11, 2020","127,100","126,870","127,100","126,225","73.62K","-0.31%"
"Mar 10, 2020","127,500","127,475","127,500","126,795","28.09K","-0.23%"
"Mar 09, 2020","127,800","127,435","127,830","126,795","29.90K","0.99%"
"Mar 06, 2020","126,550","127,300","127,470","126,550","21.99K","-0.46%"
"Mar 05, 2020","127,130","128,990","128,990","126,970","39.26K","-0.14%"
"Mar 04, 2020","127,310","127,015","130,000","127,015","39.64K","0.47%"
"Mar 03, 2020","126,715","125,915","126,730","125,915","36.29K","0.08%"
"Mar 02, 2020","126,610","126,950","127,795","126,610","61.76K","-0.17%"
"Feb 28, 2020","126,825","126,205","126,960","126,090","23.94K","0.69%"
"Feb 27, 2020","125,955","126,575","126,575","125,890","9.99K","-0.27%"
"Feb 26, 2020","126,290","126,140","126,460","126,130","30.52K","0.11%"
"Feb 25, 2020","126,150","126,370","126,370","125,820","9.14K","0.01%"
"Feb 24, 2020","126,135","126,300","126,375","126,080","34.10K","0.33%"
"Feb 21, 2020","125,725","125,050","125,725","125,050","18.35K","0.45%"
"Feb 20, 2020","125,165","124,850","125,165","124,700","15.86K","0.37%"
"Feb 19, 2020","124,700","124,560","125,035","124,470","7.00K","0.11%"
"Feb 18, 2020","124,560","124,280","124,720","123,980","63.39K","0.47%"
"Feb 17, 2020","123,975","123,705","123,975","123,535","16.36K","0.16%"
"Feb 14, 2020","123,775","124,160","124,190","123,645","23.09K","-0.31%"
"Feb 13, 2020","124,160","124,030","124,250","123,995","11.43K","0.07%"
